group,female,male,rank_female,rank_male
G2,18,65,18,35
G3,22,18,19.5,28
G4,362,43,32,33
G5,30,16,24.5,24.5
G6,549,64,34,34
G7,952,112,35,36
G8,4,9,8,20
G9,40,17,26,26.5
G10,11,8,13.5,18
G11,14,28,15.5,30
G13,23,3,21,11.5
G14,5,6,9,15
G16,24,16,22,24.5
G18,304,5,31,13.5
G19,291,29,30,31
G20,30,5,24.5,13.5
G21,68,12,28,23
G22,475,30,33,32
G23,22,17,19.5,26.5
G25,1,2,1,8.5
G27,7,1,10.5,3.5
G29,15,11,17,22
G30,26,9,23,20
G31,14,2,15.5,8.5
G32,3,2,4.5,8.5
G34,3,1,4.5,3.5
G37,65,7,27,16.5
G38,8,3,12,11.5
G41,2150,20,36,29
G45,3,1,4.5,3.5
G48,3,9,4.5,20
G50,73,7,29,16.5
G51,3,1,4.5,3.5
G52,11,1,13.5,3.5
G53,7,2,10.5,8.5
G54,3,1,4.5,3.5