From,To,Species,Gene Name
FBgn0011455,46260,Drosophila melanogaster,NADH dehydrogenase (ubiquinone) SGDH subunit(ND-SGDH)
FBgn0039111,42807,Drosophila melanogaster,PTEN-like phosphatase(Plip)
FBgn0031659,33714,Drosophila melanogaster,CG14043 gene product from transcript CG14043-RA(CG14043)
FBgn0035088,37996,Drosophila melanogaster,CG3776 gene product from transcript CG3776-RB(CG3776)
FBgn0029158,40259,Drosophila melanogaster,Lipoic acid synthase(Las)
FBgn0036999,40270,Drosophila melanogaster,iso Glutaminyl cyclase(isoQC)
FBgn0039153,42861,Drosophila melanogaster,CG5463 gene product from transcript CG5463-RA(CG5463)
FBgn0003891,37417,Drosophila melanogaster,tudor(tud)
FBgn0039846,43710,Drosophila melanogaster,CG11337 gene product from transcript CG11337-RD(CG11337)
FBgn0025592,43913,Drosophila melanogaster,Glycerol kinase(Gyk)
FBgn0029153,3772692,Drosophila melanogaster,Malic enzyme like-2(Menl-2)
FBgn0029155,43936,Drosophila melanogaster,Malic enzyme b(Men-b)
FBgn0034472,37268,Drosophila melanogaster,CG8517 gene product from transcript CG8517-RA(CG8517)
FBgn0029154,3772542,Drosophila melanogaster,Malic enzyme like-1(Menl-1)
FBgn0261266,34609,Drosophila melanogaster,zucchini(zuc)
FBgn0033761,36392,Drosophila melanogaster,CG8778 gene product from transcript CG8778-RA(CG8778)
FBgn0001098,42832,Drosophila melanogaster,Glutamate dehydrogenase(Gdh)
FBgn0083968,4379884,Drosophila melanogaster,CG34132 gene product from transcript CG34132-RA(CG34132)
FBgn0036334,39476,Drosophila melanogaster,CG11267 gene product from transcript CG11267-RA(CG11267)
FBgn0010501,37729,Drosophila melanogaster,Death caspase-1(Dcp-1)
FBgn0034087,36793,Drosophila melanogaster,clueless(clu)
FBgn0032603,35009,Drosophila melanogaster,CG17928 gene product from transcript CG17928-RA(CG17928)
FBgn0043799,192528,Drosophila melanogaster,CG31381 gene product from transcript CG31381-RA(CG31381)
FBgn0264740,19836181,Drosophila melanogaster,CG43998 gene product from transcript CG43998-RB(CG43998)
FBgn0264741,42827,Drosophila melanogaster,CG43999 gene product from transcript CG43999-RC(CG43999)
FBgn0039856,43722,Drosophila melanogaster,CG1774 gene product from transcript CG1774-RA(CG1774)
FBgn0033879,36536,Drosophila melanogaster,CG6543 gene product from transcript CG6543-RA(CG6543)
FBgn0033086,35568,Drosophila melanogaster,CG9410 gene product from transcript CG9410-RA(CG9410)
FBgn0011361,38154,Drosophila melanogaster,NADH dehydrogenase (ubiquinone) acyl carrier protein(ND-ACP)
FBgn0028962,38595,Drosophila melanogaster,mitochondrial alanyl-tRNA synthetase(Aats-ala-m)
FBgn0261276,36578,Drosophila melanogaster,Optic atrophy 1 ortholog (H. sapiens)(Opa1)
FBgn0039854,43720,Drosophila melanogaster,CG1635 gene product from transcript CG1635-RA(CG1635)
FBgn0026741,36406,Drosophila melanogaster,mitochondrial ribosomal protein L18(mRpL18)
FBgn0039855,43721,Drosophila melanogaster,CG1638 gene product from transcript CG1638-RB(CG1638)
FBgn0037008,40279,Drosophila melanogaster,CG5047 gene product from transcript CG5047-RA(mTerf3)
FBgn0010100,44149,Drosophila melanogaster,Aconitase(Acon)
FBgn0260779,42283,Drosophila melanogaster,"Glutamyl-tRNA(Gln) amidotransferase, subunit A(GatA)"
FBgn0037999,41480,Drosophila melanogaster,CG4860 gene product from transcript CG4860-RA(CG4860)
FBgn0026619,36405,Drosophila melanogaster,Tafazzin(Taz)
FBgn0030352,32151,Drosophila melanogaster,severe impairment of CI with lengthened youth(sicily)
FBgn0029131,53585,Drosophila melanogaster,Death executioner Bcl-2 homologue(Debcl)
FBgn0010352,39899,Drosophila melanogaster,Neural conserved at 73EF(Nc73EF)
FBgn0027580,36020,Drosophila melanogaster,Pyruvate carboxylase(PCB)
FBgn0033883,36540,Drosophila melanogaster,CG16935 gene product from transcript CG16935-RA(CG16935)
FBgn0033079,35561,Drosophila melanogaster,Flavin-containing monooxygenase 2(Fmo-2)
FBgn0036210,39335,Drosophila melanogaster,CG14130 gene product from transcript CG14130-RA(CG14130)
FBgn0037801,41253,Drosophila melanogaster,CG3999 gene product from transcript CG3999-RA(CG3999)
FBgn0035852,38915,Drosophila melanogaster,CG7387 gene product from transcript CG7387-RA(CG7387)
FBgn0033074,35553,Drosophila melanogaster,CG8330 gene product from transcript CG8330-RA(tomboy40)
FBgn0036162,39281,Drosophila melanogaster,CG6140 gene product from transcript CG6140-RB(CG6140)
FBgn0030686,32523,Drosophila melanogaster,mitochondrial ribosomal protein L3(mRpL3)
FBgn0030482,32297,Drosophila melanogaster,CG1673 gene product from transcript CG1673-RA(CG1673)
FBgn0039737,43562,Drosophila melanogaster,CG7920 gene product from transcript CG7920-RA(CG7920)
FBgn0260407,318977,Drosophila melanogaster,mitochondrial ribosomal protein S23(mRpS23)
FBgn0002354,49762,Drosophila melanogaster,lethal (3) 87Df(l(3)87Df)
FBgn0028848,34776,Drosophila melanogaster,CG7311 gene product from transcript CG7311-RD(CG7311)
FBgn0031728,33796,Drosophila melanogaster,CG7235 gene product from transcript CG7235-RA(Hsp60C)
FBgn0030478,32292,Drosophila melanogaster,CG1640 gene product from transcript CG1640-RB(CG1640)
FBgn0028436,40732,Drosophila melanogaster,CG10610 gene product from transcript CG10610-RA(ECSIT)
FBgn0026566,40814,Drosophila melanogaster,CG1307 gene product from transcript CG1307-RE(CG1307)
FBgn0039126,42826,Drosophila melanogaster,CG13601 gene product from transcript CG13601-RA(CG13601)
FBgn0039020,42697,Drosophila melanogaster,CG17141 gene product from transcript CG17141-RA(CG17141)
FBgn0050022,36233,Drosophila melanogaster,CG30022 gene product from transcript CG30022-RB(CG30022)
FBgn0030679,32516,Drosophila melanogaster,CG8206 gene product from transcript CG8206-RB(CG8206)
FBgn0037816,41271,Drosophila melanogaster,CG6345 gene product from transcript CG6345-RA(CG6345)
FBgn0026761,35559,Drosophila melanogaster,CG3152 gene product from transcript CG3152-RA(Trap1)
FBgn0029594,31148,Drosophila melanogaster,CG14806 gene product from transcript CG14806-RA(CG14806)
FBgn0036702,39922,Drosophila melanogaster,CG6512 gene product from transcript CG6512-RB(CG6512)
FBgn0031092,33016,Drosophila melanogaster,CG9577 gene product from transcript CG9577-RA(CG9577)
FBgn0021944,44701,Drosophila melanogaster,Coproporphyrinogen oxidase(Coprox)
FBgn0083953,4379851,Drosophila melanogaster,CG34117 gene product from transcript CG34117-RA(CG34117)
FBgn0036569,39762,Drosophila melanogaster,CG5414 gene product from transcript CG5414-RB(CG5414)
FBgn0030676,32512,Drosophila melanogaster,CG12379 gene product from transcript CG12379-RB(CG12379)
FBgn0003997,40009,Drosophila melanogaster,head involution defective(hid)
FBgn0017567,44207,Drosophila melanogaster,NADH dehydrogenase (ubiquinone) 23 kDa subunit(ND-23)
FBgn0028426,36086,Drosophila melanogaster,Juvenile hormone-inducible protein 1(JhI-1)
FBgn0017566,31762,Drosophila melanogaster,NADH dehydrogenase (ubiquinone) 75 kDa subunit(ND-75)
FBgn0262559,42185,Drosophila melanogaster,Malate dehydrogenase 2(Mdh2)
FBgn0031713,33777,Drosophila melanogaster,CG7277 gene product from transcript CG7277-RA(CG7277)
FBgn0028325,31406,Drosophila melanogaster,lethal (1) G0334(l(1)G0334)
FBgn0030460,32272,Drosophila melanogaster,CG2453 gene product from transcript CG2453-RC(CG2453)
FBgn0260747,32701,Drosophila melanogaster,CG5010 gene product from transcript CG5010-RA(CG5010)
FBgn0011211,37617,Drosophila melanogaster,bellwether(blw)
FBgn0033523,36103,Drosophila melanogaster,CG12895 gene product from transcript CG12895-RB(CG12895)
FBgn0260744,41450,Drosophila melanogaster,Transport and Golgi organization 9(Tango9)
FBgn0036208,39333,Drosophila melanogaster,CG10361 gene product from transcript CG10361-RA(CG10361)
FBgn0033830,36481,Drosophila melanogaster,CG10814 gene product from transcript CG10814-RA(CG10814)
FBgn0086907,34995,Drosophila melanogaster,Cytochrome c distal(Cyt-c-d)
FBgn0039189,42906,Drosophila melanogaster,CG18528 gene product from transcript CG18528-RA(CG18528)
FBgn0036488,39656,Drosophila melanogaster,CG6878 gene product from transcript CG6878-RA(CG6878)
FBgn0036824,40059,Drosophila melanogaster,CG3902 gene product from transcript CG3902-RA(CG3902)
FBgn0033734,36357,Drosophila melanogaster,CG8520 gene product from transcript CG8520-RA(CG8520)
FBgn0030344,32143,Drosophila melanogaster,CG2025 gene product from transcript CG2025-RA(CG2025)
FBgn0002719,47173,Drosophila melanogaster,Malic enzyme(Men)
FBgn0036763,39989,Drosophila melanogaster,CG7441 gene product from transcript CG7441-RA(CG7441)
FBgn0039993,3355069,Drosophila melanogaster,CG17691 gene product from transcript CG17691-RC(CG17691)
FBgn0037186,40492,Drosophila melanogaster,CG11241 gene product from transcript CG11241-RC(CG11241)
FBgn0262467,33711,Drosophila melanogaster,Synthesis of cytochrome c oxidase(Scox)
FBgn0027579,43350,Drosophila melanogaster,minotaur(mino)
FBgn0042185,59223,Drosophila melanogaster,CG18769 gene product from transcript CG18769-RH(CG18769)
FBgn0026409,39587,Drosophila melanogaster,Mitochondrial phosphate carrier protein(Mpcp)
FBgn0042083,59261,Drosophila melanogaster,CG3267 gene product from transcript CG3267-RA(CG3267)
FBgn0031500,33521,Drosophila melanogaster,CG17221 gene product from transcript CG17221-RB(CG17221)
FBgn0036629,39828,Drosophila melanogaster,CG4573 gene product from transcript CG4573-RA(CG4573)
FBgn0039071,42756,Drosophila melanogaster,CG4434 gene product from transcript CG4434-RA(CG4434)
FBgn0036833,40069,Drosophila melanogaster,CG3819 gene product from transcript CG3819-RB(CG3819)
FBgn0030584,32410,Drosophila melanogaster,CG14407 gene product from transcript CG14407-RA(CG14407)
FBgn0033038,35511,Drosophila melanogaster,CG7791 gene product from transcript CG7791-RA(CG7791)
FBgn0036831,40067,Drosophila melanogaster,CG6839 gene product from transcript CG6839-RA(CG6839)
FBgn0030217,31989,Drosophila melanogaster,CG2124 gene product from transcript CG2124-RA(CG2124)
FBgn0035064,37965,Drosophila melanogaster,mitochondrial tyrosyl-tRNA synthetase(Aats-tyr-m)
FBgn0053178,318913,Drosophila melanogaster,CG33178 gene product from transcript CG33178-RC(CG33178)
FBgn0028342,31950,Drosophila melanogaster,"ATP synthase, delta subunit(ATPsyndelta)"
FBgn0010213,36878,Drosophila melanogaster,Superoxide dismutase 2 (Mn)(Sod2)
FBgn0261381,8674019,Drosophila melanogaster,Mitochondrial Transcription Factor B1(mtTFB1)
FBgn0010217,43829,Drosophila melanogaster,"ATP synthase, beta subunit(ATPsynbeta)"
FBgn0261380,41293,Drosophila melanogaster,mitochondrial ribosomal protein L37(mRpL37)
FBgn0038708,42326,Drosophila melanogaster,CG6255 gene product from transcript CG6255-RA(CG6255)
FBgn0010316,36001,Drosophila melanogaster,dacapo(dap)
FBgn0003067,37131,Drosophila melanogaster,Phosphoenolpyruvate carboxykinase(Pepck)
FBgn0050093,246451,Drosophila melanogaster,Cytochrome c oxidase subunit 6A-like(COX6AL)
FBgn0039836,43699,Drosophila melanogaster,CG1750 gene product from transcript CG1750-RA(CG1750)
FBgn0030575,32399,Drosophila melanogaster,CG5321 gene product from transcript CG5321-RB(CG5321)
FBgn0037027,40302,Drosophila melanogaster,HP1 and insulator partner protein 1(HIPP1)
FBgn0030572,32395,Drosophila melanogaster,mitochondrial ribosomal protein S25(mRpS25)
FBgn0030573,32396,Drosophila melanogaster,CG5310 gene product from transcript CG5310-RA(nmdyn-D6)
FBgn0028530,34837,Drosophila melanogaster,mitochondrial transcription termination factor(mTTF)
FBgn0033712,36335,Drosophila melanogaster,CG13163 gene product from transcript CG13163-RB(CG13163)
FBgn0036321,39463,Drosophila melanogaster,CG14120 gene product from transcript CG14120-RA(CG14120)
FBgn0010222,47895,Drosophila melanogaster,NAD-dependent methylenetetrahydrofolate dehydrogenase(Nmdmc)
FBgn0035980,39067,Drosophila melanogaster,CG4447 gene product from transcript CG4447-RA(CG4447)
FBgn0027359,32081,Drosophila melanogaster,CG1728 gene product from transcript CG1728-RB(Tim8)
FBgn0036323,39465,Drosophila melanogaster,CG14118 gene product from transcript CG14118-RA(CG14118)
FBgn0026666,32513,Drosophila melanogaster,lethal (1) G0136(l(1)G0136)
FBgn0022774,40145,Drosophila melanogaster,Ornithine aminotransferase precursor(Oat)
FBgn0037857,41321,Drosophila melanogaster,Testis EndoG-Like 4(Tengl4)
FBgn0010516,36252,Drosophila melanogaster,walrus(wal)
FBgn0021906,44390,Drosophila melanogaster,Rieske iron-sulfur protein(RFeSP)
FBgn0030037,31775,Drosophila melanogaster,CG12125 gene product from transcript CG12125-RC(CG12125)
FBgn0030178,31944,Drosophila melanogaster,CG2974 gene product from transcript CG2974-RB(CG2974)
FBgn0263606,5740624,Drosophila melanogaster,Heat shock protein cognate 20(Hsc20)
FBgn0035203,38147,Drosophila melanogaster,CG9149 gene product from transcript CG9149-RA(CG9149)
FBgn0040660,50133,Drosophila melanogaster,CG13551 gene product from transcript CG13551-RA(CG13551)
FBgn0040529,50002,Drosophila melanogaster,Cytochrome c oxidase subunit 7A(COX7A)
FBgn0040666,50139,Drosophila melanogaster,CG12848 gene product from transcript CG12848-RA(CG12848)
FBgn0010438,41968,Drosophila melanogaster,mitochondrial single stranded DNA-binding protein(mtSSB)
FBgn0038925,42590,Drosophila melanogaster,Cytochrome c heme lyase(Cchl)
FBgn0052463,318044,Drosophila melanogaster,Testis EndoG-Like 2(Tengl2)
FBgn0002031,49168,Drosophila melanogaster,lethal (2) 37Cc(l(2)37Cc)
FBgn0051373,318700,Drosophila melanogaster,CG31373 gene product from transcript CG31373-RA(CG31373)
FBgn0020653,31760,Drosophila melanogaster,Thioredoxin reductase-1(Trxr-1)
FBgn0034276,37026,Drosophila melanogaster,Sarcosine dehydrogenase(Sardh)
FBgn0035674,38692,Drosophila melanogaster,CG13295 gene product from transcript CG13295-RA(CG13295)
FBgn0033570,36159,Drosophila melanogaster,NADH dehydrogenase (ubiquinone) B14 subunit(ND-B14)
FBgn0000181,45827,Drosophila melanogaster,bicaudal(bic)
FBgn0033672,36281,Drosophila melanogaster,rhomboid-7(rho-7)
FBgn0085453,37699,Drosophila melanogaster,CG34424 gene product from transcript CG34424-RA(CG34424)
FBgn0033673,36282,Drosophila melanogaster,CG8298 gene product from transcript CG8298-RC(CG8298)
FBgn0036928,40189,Drosophila melanogaster,Translocase of outer membrane 20(Tom20)
FBgn0085452,5740313,Drosophila melanogaster,CG34423 gene product from transcript CG34423-RB(CG34423)
FBgn0036927,40188,Drosophila melanogaster,CG7433 gene product from transcript CG7433-RC(CG7433)
FBgn0033961,36640,Drosophila melanogaster,NADH dehydrogenase (ubiquinone) B15 subunit(ND-B15)
FBgn0020370,36444,Drosophila melanogaster,tripeptidyl-peptidase II(TppII)
FBgn0038326,41869,Drosophila melanogaster,CG5044 gene product from transcript CG5044-RB(CG5044)
FBgn0033685,36300,Drosophila melanogaster,Organic solute carrier partner 1(OSCP1)
FBgn0020235,43507,Drosophila melanogaster,"ATP synthase, gamma subunit(ATPsyngamma)"
FBgn0035228,38177,Drosophila melanogaster,CG12091 gene product from transcript CG12091-RB(CG12091)
FBgn0022338,42273,Drosophila melanogaster,deoxyribonucleoside kinase(dnk)
FBgn0250816,3355150,Drosophila melanogaster,Argonaute 3(AGO3)
FBgn0034127,36839,Drosophila melanogaster,CG7848 gene product from transcript CG7848-RA(CG7848)
FBgn0250814,39846,Drosophila melanogaster,Ubiquinol-cytochrome c reductase core protein 2(UQCR-C2)
FBgn0032154,34307,Drosophila melanogaster,mitochondrial DNA helicase(mtDNA-helicase)
FBgn0040337,53546,Drosophila melanogaster,CG3021 gene product from transcript CG3021-RA(CG3021)
FBgn0262872,45683,Drosophila melanogaster,milton(milt)
FBgn0052174,261607,Drosophila melanogaster,CG32174 gene product from transcript CG32174-RD(CG32174)
FBgn0038805,42433,Drosophila melanogaster,mitochondrial transcription factor A(TFAM)
FBgn0033274,35797,Drosophila melanogaster,CG14757 gene product from transcript CG14757-RA(CG14757)
FBgn0028648,38796,Drosophila melanogaster,mitochondrial ribosomal protein L50(mRpL50)
FBgn0033273,35795,Drosophila melanogaster,GASZ ortholog(Gasz)
FBgn0010551,46038,Drosophila melanogaster,Prohibitin 2(Phb2)
FBgn0022344,42020,Drosophila melanogaster,CG10340 gene product from transcript CG10340-RA(CG10340)
FBgn0034390,37166,Drosophila melanogaster,CG15093 gene product from transcript CG15093-RB(CG15093)
FBgn0028646,43616,Drosophila melanogaster,CG2139 gene product from transcript CG2139-RC(aralar1)
FBgn0036808,40039,Drosophila melanogaster,Dicarboxylate carrier 4(Dic4)
FBgn0035942,39023,Drosophila melanogaster,CG5660 gene product from transcript CG5660-RB(CG5660)
FBgn0261353,39320,Drosophila melanogaster,Coiled-coil domain containing 56(Ccdc56)
FBgn0034299,37062,Drosophila melanogaster,CG5757 gene product from transcript CG5757-RB(CG5757)
FBgn0035032,37931,Drosophila melanogaster,"ATP synthase, subunit F(ATPsynF)"
FBgn0032162,34317,Drosophila melanogaster,CG4592 gene product from transcript CG4592-RB(CG4592)
FBgn0034943,37814,Drosophila melanogaster,Flavin-containing monooxygenase 1(Fmo-1)
FBgn0032161,34316,Drosophila melanogaster,CG4594 gene product from transcript CG4594-RB(CG4594)
FBgn0032160,34315,Drosophila melanogaster,CG4598 gene product from transcript CG4598-RB(CG4598)
FBgn0038319,41859,Drosophila melanogaster,mitochondrial ribosomal protein L9(mRpL9)
FBgn0033690,36309,Drosophila melanogaster,Endonuclease G(EndoG)
FBgn0036909,40159,Drosophila melanogaster,CG15881 gene product from transcript CG15881-RB(CG15881)
FBgn0035240,317974,Drosophila melanogaster,CG33791 gene product from transcript CG33791-RB(CG33791)
FBgn0035839,38901,Drosophila melanogaster,CG7550 gene product from transcript CG7550-RA(CG7550)
FBgn0028997,41174,Drosophila melanogaster,CG8362 gene product from transcript CG8362-RA(nmdyn-D7)
FBgn0014903,44620,Drosophila melanogaster,CG14630 gene product from transcript CG14630-RA(CG14630)
FBgn0033184,35681,Drosophila melanogaster,CG12736 gene product from transcript CG12736-RA(CG12736)
FBgn0019644,39143,Drosophila melanogaster,"ATP synthase, subunit B(ATPsynB)"
FBgn0026576,42849,Drosophila melanogaster,CG5991 gene product from transcript CG5991-RA(CG5991)
FBgn0016119,42759,Drosophila melanogaster,"ATP synthase, coupling factor 6(ATPsynCF6)"
FBgn0026479,33445,Drosophila melanogaster,Dynamin related protein 1(Drp1)
FBgn0250874,31266,Drosophila melanogaster,tiny tim 50(ttm50)
FBgn0032849,35299,Drosophila melanogaster,mitochondrial ribosomal protein S18B(mRpS18B)
FBgn0002174,48844,Drosophila melanogaster,lethal (2) tumorous imaginal discs(l(2)tid)
FBgn0038233,41756,Drosophila melanogaster,HTRA2-related serine protease(HtrA2)
FBgn0016120,42291,Drosophila melanogaster,"ATP synthase, subunit D(ATPsynD)"
FBgn0033190,35689,Drosophila melanogaster,CG2137 gene product from transcript CG2137-RA(CG2137)
FBgn0053346,2768690,Drosophila melanogaster,CG33346 gene product from transcript CG33346-RB(CG33346)
FBgn0034177,36909,Drosophila melanogaster,CG6796 gene product from transcript CG6796-RA(CG6796)
FBgn0032833,35279,Drosophila melanogaster,Cytochrome c oxidase subunit 4(COX4)
FBgn0035438,38413,Drosophila melanogaster,CG12013 gene product from transcript CG12013-RC(PHGPx)
FBgn0261439,37228,Drosophila melanogaster,"Succinate dehydrogenase, subunit A (flavoprotein)(SdhA)"
FBgn0025352,37784,Drosophila melanogaster,CG4581 gene product from transcript CG4581-RA(Thiolase)
FBgn0263911,40390,Drosophila melanogaster,Cytochrome c oxidase subunit 8(COX8)
FBgn0035266,38221,Drosophila melanogaster,Glycerol kinase(Gk)
FBgn0035600,38612,Drosophila melanogaster,Cytochrome c1(Cyt-c1)
FBgn0035811,38864,Drosophila melanogaster,CG12262 gene product from transcript CG12262-RA(CG12262)
FBgn0259726,7354411,Drosophila melanogaster,CG42380 gene product from transcript CG42380-RA(CG42380)
FBgn0035124,38049,Drosophila melanogaster,tiny tim 2(ttm2)
FBgn0032729,35156,Drosophila melanogaster,CG10639 gene product from transcript CG10639-RA(CG10639)
FBgn0039360,43104,Drosophila melanogaster,Cardiolipin synthase(CLS)
FBgn0030092,31845,Drosophila melanogaster,frataxin homolog(fh)
FBgn0259721,7354380,Drosophila melanogaster,CG42375 gene product from transcript CG42375-RA(CG42375)
FBgn0263133,34004,Drosophila melanogaster,iconoclast(ico)
FBgn0259722,7354420,Drosophila melanogaster,CG42376 gene product from transcript CG42376-RA(CG42376)
FBgn0034973,37855,Drosophila melanogaster,CG13564 gene product from transcript CG13564-RA(CG13564)
FBgn0027601,32426,Drosophila melanogaster,pudgy(pdgy)
FBgn0042112,59151,Drosophila melanogaster,mitochondrial ribosomal protein L36(mRpL36)
FBgn0035911,38979,Drosophila melanogaster,CG6638 gene product from transcript CG6638-RA(CG6638)
FBgn0032720,35145,Drosophila melanogaster,mitochondrial ribosomal protein L13(mRpL13)
FBgn0025336,37787,Drosophila melanogaster,CG4882 gene product from transcript CG4882-RB(CG4882)
FBgn0013726,35801,Drosophila melanogaster,peanut(pnut)
FBgn0034259,37006,Drosophila melanogaster,CG6459 gene product from transcript CG6459-RA(P32)
FBgn0034356,37130,Drosophila melanogaster,CG10924 gene product from transcript CG10924-RA(CG10924)
FBgn0029161,44132,Drosophila melanogaster,slowmo(slmo)
FBgn0034351,37124,Drosophila melanogaster,CG5190 gene product from transcript CG5190-RA(CG5190)
FBgn0035906,38974,Drosophila melanogaster,Glutathione S transferase O2(GstO2)
FBgn0027610,41640,Drosophila melanogaster,Dicarboxylate carrier 1(Dic1)